latitude,longitude
-6.892831,39.2672383
-6.8927811,39.2673631
-6.8927773,39.2674647
-6.8928874,39.2676188
-6.8932836,39.2679113
-6.8935478,39.2680434
-6.8934817,39.2683012
-6.8934031,39.2685088
-6.8932993,39.2687006
-6.8932081,39.2688547
-6.8931138,39.2689396
-6.8931267,39.2690199
-6.8931221,39.2691311
-6.8931199,39.2692506
-6.8930477,39.2693044
-6.8927207,39.2693956
-6.8926326,39.2694145
-6.8925656,39.2694589
-6.8923905,39.2695748
-6.8922018,39.2697855
-6.8920059,39.2701431
-6.8920037,39.2701472
-6.8918496,39.2703862
-6.8918169,39.2704345
-6.8917507,39.2704691
-6.8917193,39.270541
-6.891657,39.2707384
-6.8915689,39.2709774
-6.8915477,39.2710843
-6.8915348,39.2711295
-6.8914722,39.2713485
-6.891466,39.2715183
-6.8914314,39.2716535
-6.8914355,39.2716683
-6.891553,39.271678
-6.8915637,39.2716785
-6.8915812,39.2716793
-6.8916421,39.2716975
-6.8917267,39.2716886
-6.8918213,39.2716787
-6.8920064,39.2717775
-6.8920509,39.2718013
-6.8922234,39.2717705
-6.892227,39.2717699
-6.8922384,39.2717734
-6.8923087,39.271795
-6.8923437,39.2718385
-6.892351,39.2718476
-6.8924318,39.2719481
-6.8924377,39.2719554
-6.8925981,39.2720183
-6.8927557,39.2720645
-6.892783,39.2720689
-6.8928735,39.272099
-6.8928885,39.2721078
-6.8929691,39.2721347
-6.8930163,39.2721692
-6.8930603,39.2722353
-6.8931044,39.2723013
-6.8931694,39.2724549
-6.8932023,39.2724915
-6.8932358,39.2725385
-6.8932759,39.2725822
-6.8933096,39.272619
-6.8933269,39.2726474
-6.8934503,39.272795
-6.8934704,39.272825
-6.8935076,39.2728572
-6.8935378,39.2729109
-6.893578,39.2729645
-6.8935914,39.273045
-6.8936082,39.2731323
-6.8936103,39.273153
-6.8936116,39.2731658
-6.8936183,39.2732195
-6.8936183,39.2732732
-6.8936183,39.2733335
-6.8936082,39.2733738
-6.8935951,39.273384
-6.8935981,39.2734523
-6.89381,39.2736544
-6.8938685,39.2737102
-6.8940081,39.2738896
-6.894036,39.2739297
-6.894061,39.2739778
-6.8941342,39.2740217
-6.8942091,39.274048
-6.8942287,39.2740594
-6.8942553,39.2740749
-6.8943308,39.2742007
-6.8944262,39.2743071
-6.8944477,39.2743415
-6.8945453,39.2744399
-6.8946044,39.2745058
-6.8946523,39.2744718
-6.8947302,39.2744538
-6.8948302,39.2744538
-6.8949123,39.2745323
-6.8949908,39.2746073
-6.8950444,39.2746573
-6.8950631,39.2746792
-6.895102,39.2747151
-6.8951163,39.2747294
-6.8952926,39.2747408
-6.8955494,39.2748399
-6.8958287,39.2749705
-6.8959384,39.2750144
-6.8959414,39.2750156
-6.8960345,39.2750708
-6.896091,39.2751236
-6.8961514,39.2751688
-6.896257,39.2752254
-6.8963701,39.2752216
-6.8964757,39.2752292
-6.8965737,39.2752556
-6.896668,39.2752669
-6.8967887,39.2752556
-6.896863,39.2752615
-6.8968836,39.2752631
-6.8969359,39.2752673
-6.8971051,39.2752632
-6.8971483,39.2752655
-6.897191,39.2752377
-6.8975353,39.2752442
-6.8975206,39.2754962
-6.8975041,39.2756397
-6.8975041,39.275852
-6.8975179,39.2760809
-6.8976024,39.2763933
-6.8976171,39.2764478
-6.8976365,39.2765443
-6.897642,39.2765737
-6.8976514,39.2765942
-6.8976803,39.2766838
-6.8976938,39.2767261
-6.8976938,39.2767622
-6.8976585,39.2768118
-6.8976613,39.2769166
-6.897755,39.2771621
-6.897813,39.2772917
-6.8978102,39.2774541
-6.8978102,39.2774545
-6.8978101,39.2774548
-6.8977964,39.2775262
-6.897796,39.2775618
-6.8977937,39.2777413
-6.8977744,39.2779178
-6.8977759,39.2779628
-6.8977744,39.2780061
-6.8977578,39.2780723
-6.8977399,39.278115
-6.897722,39.2781578
-6.8977067,39.2781582
-6.897737,39.2782461
-6.8977413,39.2782708
-6.8977578,39.2783508
-6.8977794,39.2784561
-6.8977833,39.2786146
-6.8977833,39.2786149
-6.8978402,39.2787535
-6.8978587,39.2787986
-6.8978931,39.2787974
-6.8979095,39.2788197
-6.8979111,39.2788651
-6.8979123,39.2788969
-6.8979205,39.2790183
-6.8979867,39.2791231
-6.8980888,39.2792444
-6.8982846,39.2794402
-6.8983293,39.2795556
-6.8983701,39.2796609
-6.8983557,39.2797457
-6.898348,39.2797905
-6.8983922,39.2798622
-6.8983929,39.2798975
-6.8983949,39.2799863
-6.898398,39.2799983
-6.8984286,39.2800751
-6.8984432,39.2801424
-6.8984556,39.2801739
-6.898482,39.2802963
-6.8985498,39.2803917
-6.8984821,39.2804286
-6.8984488,39.2804576
-6.8983977,39.2804745
-6.8983798,39.2804745
-6.898292,39.2805038
-6.8982477,39.280537
-6.8982212,39.28056
-6.8981975,39.2805746
-6.8980684,39.2806714
-6.8980659,39.2806733
-6.897887,39.280678
-6.8975808,39.2807675
-6.8972369,39.2808806
-6.8969269,39.2810732
-6.8968036,39.2812009
-6.8967703,39.2812426
-6.8965916,39.2813234
-6.8963985,39.2813893
-6.8962373,39.2814031
-6.8962019,39.2813919
-6.8961728,39.2813878
-6.8957061,39.2813658
-6.8956472,39.2813381
-6.8955466,39.2813569
-6.8953453,39.2813161
-6.895295,39.281467
-6.8952907,39.2814782
-6.8952321,39.2816305
-6.8952332,39.2816545
-6.8952471,39.2819529
-6.8952478,39.281967
-6.8952985,39.2821655
-6.8953152,39.2822989
-6.8953165,39.2823066
-6.8953107,39.2823979
-6.8952667,39.2825708
-6.8951346,39.282945
-6.8950409,39.2831061
-6.8949567,39.2832795
-6.8949483,39.28329
-6.8948574,39.283472
-6.8952224,39.2835094
-6.8955827,39.2835061
-6.895621,39.2835321
-6.8956057,39.2836111
-6.8955641,39.2837889
-6.8955502,39.2839932
-6.8955223,39.2841139
-6.8955223,39.2842393
-6.8955316,39.2843136
-6.8955316,39.2843786
-6.8955406,39.2846716
-6.895549,39.2850791
-6.8955354,39.2853032
-6.8955502,39.2855747
-6.8955634,39.2857723
-6.8955694,39.285863
-6.8955454,39.28618
-6.8955213,39.2866134
-6.8955197,39.2866406
-6.8955283,39.2868705
-6.8955751,39.2870451
-6.8956092,39.2872154
-6.8956135,39.2872351
-6.8956602,39.2874453
-6.8957028,39.287573
-6.8957582,39.2877731
-6.8958189,39.287855
-6.8958025,39.2879492
-6.8959216,39.2887332
-6.8960199,39.2887375
-6.8962075,39.288692
-6.8964689,39.2885918
-6.8967582,39.288522
-6.8968562,39.2885224
-6.8969911,39.2885765
-6.8970607,39.2885959
-6.8971227,39.2885917
-6.8971907,39.2886034
-6.8980015,39.2887642
-6.8982851,39.2888561
-6.8984367,39.2886875
-6.8985472,39.2884528
-6.898772,39.2880151
-6.8987971,39.2880258
-6.8988339,39.2880049
-6.8988438,39.2880149
-6.8988676,39.288027
-6.8989049,39.2880434
-6.8989256,39.2880528
-6.8997935,39.2884429
-6.8999094,39.2885038
-6.9004472,39.2887236
-6.9010938,39.2889847
-6.9012227,39.2890339
-6.9014035,39.2891066
-6.9014775,39.2891371
-6.9022162,39.2894365
-6.9029464,39.2897533
-6.903483,39.2901619
-6.9035067,39.2901738
-6.9035984,39.2902345
-6.9037663,39.2903275
-6.9039361,39.2904253
-6.904139,39.2905355
-6.9043149,39.2907305
-6.9044086,39.2907719
-6.9046557,39.2909603
-6.9047421,39.291076
-6.904809,39.2911543
-6.9050473,39.2915216
-6.9051154,39.2916849
-6.9053978,39.2919806
-6.9056577,39.2923966
-6.9058764,39.2926303
-6.9060062,39.2928316
-6.9061513,39.2930171
-6.9061722,39.2929994
-6.9061783,39.2930204
-6.9061866,39.2932038
-6.9061775,39.2933787
-6.9061854,39.29366
-6.9061885,39.2939096
-6.9061163,39.2942019
-6.9060271,39.2945872
-6.9059319,39.2949352
-6.9059279,39.2949497
-6.9057639,39.2952215
-6.9057423,39.2953423
-6.9057941,39.2955796
-6.9057682,39.2956745
-6.9057553,39.2957996
-6.90582,39.2960542
-6.9058933,39.2963217
-6.9059365,39.2965935
-6.9059746,39.2968263
-6.9059561,39.2968957
-6.9059581,39.2969861
-6.9059969,39.297081
-6.9061091,39.2971673
-6.9061522,39.2973011
-6.9062687,39.2974521
-6.9064283,39.2977498
-6.9066469,39.2979959
-6.907809,39.299523
-6.9085151,39.3005344
-6.908593,39.3006459
-6.9086027,39.3006598
-6.9086357,39.3007071
-6.9086374,39.3007095
-6.9086428,39.3007061
-6.9086443,39.3008149
-6.9084876,39.301031
-6.9084375,39.3011002
-6.9079239,39.3012642
-6.9070966,39.3011787
-6.9066187,39.3013998
-6.9065006,39.3015084
-6.9061765,39.3018062
-6.9057771,39.3024125
-6.905663,39.3025338
-6.9055489,39.3027549
-6.905606,39.3030544
-6.9055703,39.3030972
-6.9052065,39.3029831
-6.9051352,39.3030259
-6.9049712,39.3031186
-6.9047002,39.3029974
-6.9046217,39.3030117
-6.9044006,39.3031186
-6.9042936,39.3033897
-6.9043079,39.3035822
-6.9043079,39.3038533
-6.9042722,39.3038818
-6.9039299,39.3041314
-6.9036588,39.304431
-6.9036089,39.3049445
-6.9036089,39.3051656
-6.9036282,39.3052676
-6.9037658,39.305993
-6.90382,39.3072276
-6.9037856,39.3075452
-6.9032819,39.30745
-6.8997275,39.3077472
-6.8992428,39.3081952
-6.8974943,39.3099035
-6.8967306,39.3114256
-6.8964757,39.3114152
-6.8963187,39.3113803
-6.8959991,39.3113958
-6.8959289,39.311513
-6.8959181,39.3115494
-6.8958274,39.3118565
-6.8957649,39.3120361
-6.8956244,39.3122001
-6.8955633,39.3122458
-6.8954057,39.312364
-6.8951793,39.3126295
-6.8951403,39.3127935
-6.8951793,39.3130043
-6.8951637,39.3131214
-6.895109,39.3132932
-6.8949685,39.3133947
-6.8947655,39.3135275
-6.893302,39.3155965
-6.8932725,39.3154338
-6.8929914,39.3153451
-6.8927695,39.3153746
-6.8926364,39.3155374
-6.8926364,39.3157149
-6.8925624,39.3161587
-6.8924145,39.3162622
-6.8921778,39.3159811
-6.8921186,39.315774
-6.8920742,39.3156409
-6.8919115,39.3154782
-6.8918228,39.3155226
-6.8917784,39.3157149
-6.8917784,39.315848
-6.8917192,39.3161291
-6.8914825,39.3161735
-6.8913642,39.3157297
-6.8912163,39.3155965
-6.8910831,39.3153451
-6.8908464,39.3151675
-6.8908021,39.3153451
-6.8906985,39.3157888
-6.8902695,39.3159368
-6.8897961,39.3159368
-6.8894855,39.3159959
-6.889308,39.3159072
-6.8890861,39.3155817
-6.8888859,39.3148887
-6.8883775,39.3146628
-6.8881704,39.3147193
-6.8879257,39.3151523
-6.8877186,39.3156983
-6.8874362,39.3160372
-6.8870784,39.3159619
-6.8868337,39.315623
-6.8867772,39.3148134
-6.8867395,39.3140603
-6.8863818,39.3138908
-6.8863375,39.3139241
-6.8863372,39.3139242
-6.8863375,39.313924
-6.8855637,39.314346
-6.8849874,39.3146527
-6.8842638,39.3146795
-6.8835269,39.3145053
-6.8832511,39.3140082
-6.8829507,39.3132324
-6.8836409,39.3125705
-6.8845417,39.311687
-6.8846629,39.3109768
-6.8847664,39.3105416
-6.8847664,39.3105415
-6.8847581,39.3099329
-6.8846165,39.3091685
-6.8846165,39.3091684
-6.8844466,39.3084323
-6.8844466,39.3084322
-6.8840502,39.3078376
-6.8836538,39.3075545
-6.8827195,39.3074129
-6.881468,39.3076956
-6.8804598,39.3074473
-6.8801905,39.3063466
-6.8810302,39.305355
-6.8815841,39.3050245
-6.8823703,39.3043902
-6.8828455,39.3031091
-6.8828455,39.303109
-6.882773,39.3021374
-6.8827729,39.3021373
-6.8825264,39.3013541
-6.8821493,39.3005565
-6.8812936,39.2993817
-6.8804234,39.29841
-6.8795113,39.2978826
-6.8793883,39.2978606
-6.8790449,39.2977989
-6.8784248,39.2976877
-6.8782195,39.2976509
-6.8777226,39.2976169
-6.8772496,39.2975455
-6.8768836,39.2975633
-6.8762053,39.297483
-6.87561,39.2975727
-6.8752434,39.2975727
-6.8751693,39.2975763
-6.8747906,39.2975943
-6.8742443,39.2976877
-6.8736334,39.2978171
-6.8731302,39.2979177
-6.8726917,39.297774
-6.8715201,39.2971486
-6.87153,39.2963844
-6.871781,39.2959352
-6.871781,39.2954729
-6.8717809,39.2954728
-6.8717413,39.2947991
-6.8717413,39.2940858
-6.8717413,39.2940857
-6.8716488,39.2932667
-6.8714111,39.2922892
-6.8714111,39.2922891
-6.8710544,39.2916286
-6.8708733,39.2912556
-6.8706389,39.2909787
-6.8701915,39.2903821
-6.8699146,39.2897643
-6.8697655,39.2890826
-6.8705324,39.2886992
-6.8714485,39.2883796
-6.8721941,39.28806
-6.8728333,39.2874209
-6.8732807,39.2867392
-6.8736002,39.2859722
-6.8739198,39.2846088
-6.8742606,39.2839483
-6.874708,39.2831388
-6.8750963,39.2824698
-6.8755077,39.282221
-6.8755755,39.2822125
-6.8759272,39.2821829
-6.8761107,39.2821858
-6.8762323,39.2821312
-6.8776555,39.2822436
-6.8783312,39.2825253
-6.8785955,39.2826974
-6.8790318,39.2830464
-6.8793968,39.283244
-6.8794102,39.2832452
-6.8797169,39.2832725
-6.8799399,39.283316
-6.8800444,39.2833148
-6.880286,39.2832839
-6.8804068,39.283239
-6.8806512,39.2830311
-6.8807162,39.282824
-6.8807096,39.2821494
-6.8807093,39.2821157
-6.8806715,39.2816034
-6.8806749,39.281232
-6.880668,39.2810636
-6.8805287,39.2807361
-6.8805549,39.2805409
-6.880535,39.2805057
-6.8805446,39.280499
-6.8805731,39.2804744
-6.8806225,39.2802931
-6.8807126,39.2800978
-6.8810527,39.2799853
-6.8812201,39.2797621
-6.8816141,39.2793783
-6.8816763,39.2793249
-6.8817355,39.2792489
-6.8817584,39.2792064
-6.8818749,39.2789912
-6.8819299,39.2787926
-6.8820017,39.2785603
-6.8820524,39.2783153
-6.8821073,39.2780449
-6.8820228,39.2776436
-6.8819848,39.2774958
-6.8819975,39.2772888
-6.8819972,39.2772659
-6.881995,39.2770944
-6.8819933,39.2769635
-6.882044,39.2766551
-6.8820735,39.2763806
-6.8821681,39.2760944
-6.882234,39.2758948
-6.8823946,39.2754639
-6.8824368,39.2752104
-6.8824579,39.2751428
-6.8824537,39.2750372
-6.8824748,39.2749063
-6.8825044,39.2747035
-6.8825313,39.2746407
-6.8825931,39.2744965
-6.8825839,39.2743629
-6.8825727,39.274279
-6.882571,39.2742659
-6.8825419,39.2741721
-6.8825128,39.2740396
-6.8825107,39.2739354
-6.8825096,39.2738812
-6.882474,39.2737809
-6.8824384,39.2736355
-6.8824029,39.2735546
-6.8823802,39.2735061
-6.8823641,39.2734221
-6.8823447,39.2732928
-6.8822962,39.2731731
-6.8822929,39.2731149
-6.8823026,39.2730729
-6.8823123,39.2729468
-6.8823253,39.272811
-6.8823802,39.2726235
-6.8824287,39.2724489
-6.8824675,39.2723261
-6.8825516,39.2721644
-6.8826162,39.2720416
-6.8826321,39.2720161
-6.8826906,39.2719219
-6.8828199,39.2718217
-6.8830333,39.2717473
-6.8832338,39.2717312
-6.8832855,39.2716471
-6.8832629,39.2715566
-6.8832047,39.2714111
-6.8831497,39.2713367
-6.8828781,39.2712365
-6.8828842,39.2712094
-6.8827206,39.2713129
-6.8825993,39.2713822
-6.8825963,39.2714043
-6.8825613,39.271424
-6.8823948,39.271416
-6.8823608,39.2714143
-6.882238,39.2713626
-6.8821749,39.2713497
-6.8821927,39.271285
-6.8822444,39.2712074
-6.8823253,39.271146
-6.8824514,39.2710555
-6.8825451,39.2710005
-6.8826486,39.27091
-6.8826597,39.2709015
-6.8827153,39.2708589
-6.8827585,39.2708259
-6.8828102,39.2706513
-6.8828296,39.2705123
-6.8828005,39.2704606
-6.8827456,39.2704218
-6.8827265,39.2703998
-6.8827035,39.2703733
-6.8826292,39.2703183
-6.882516,39.2702375
-6.8823802,39.2701728
-6.8821313,39.2699724
-6.8820734,39.2699054
-6.8820084,39.2698301
-6.8819696,39.2694098
-6.8819438,39.2693225
-6.8819244,39.2692256
-6.8818391,39.2690793
-6.8819283,39.2690579
-6.8824885,39.2689357
-6.8828357,39.2688672
-6.8833272,39.2687655
-6.8840721,39.2685762
-6.8844048,39.2684917
-6.8846742,39.2684215
-6.8850617,39.2683206
-6.8851223,39.2683048
-6.8851447,39.268299
-6.8852781,39.2682833
-6.8853215,39.2682754
-6.885521,39.2682292
-6.8857254,39.2682022
-6.8859873,39.2682057
-6.8862157,39.2682394
-6.8863061,39.2682741
-6.8863929,39.268324
-6.8864755,39.2683819
-6.8865871,39.2684473
-6.8866578,39.2684951
-6.8866701,39.2685048
-6.886693,39.2685198
-6.8871612,39.26897
-6.8871712,39.2689798
-6.8872477,39.2690549
-6.8875645,39.2693159
-6.8875747,39.2693243
-6.8877526,39.2695022
-6.888015,39.2695648
-6.8881504,39.2695971
-6.888574,39.2696116
-6.8886161,39.269613
-6.8888049,39.2695633
-6.8889178,39.2695336
-6.8894047,39.2693166
-6.8895688,39.2691711
-6.8897567,39.2690996
-6.8897724,39.2690934
-6.889889,39.2690467
-6.8903458,39.2688216
-6.8904368,39.2687768
-6.8909813,39.2683416
-6.891072,39.2682691
-6.8910722,39.2682689
-6.8911487,39.2682078
-6.8916122,39.2678663
-6.8916674,39.2678246
-6.8918287,39.2677144
-6.8920675,39.267542
-6.8923457,39.2674083
-6.8924142,39.2673753
-6.8924325,39.2673692
-6.8928191,39.2672404
-6.892831,39.2672383
